,features,feature_sums,VIF
2276,FS_NFC_LD_FSTD_XDC,2.5758562841628307e+19,inf
183,32____XDC,1.8077563159022834e+23,inf
2278,FS_NFC_LD_XDC,2.5758562841628307e+19,inf
2286,FS_NFC_L_XDC,2.575818825926213e+19,inf
2289,FS_NFC_OIN_XDC,2.808969380756373e+18,inf
2295,FS_NFC_RS_XDC,5.010825105860917e+19,inf
203,36AA__XDC,1.2643136539740424e+19,inf
2298,FS_NFC_TIC_XDC,2.741251835006451e+17,inf
190,34____XDC,4.828879956026912e+21,inf
193,35L___PC_CP_A_PT,1347390957.575,inf
11649,GRTGSO_G14_XDC_W0|S1|G1146_S1312_XDC,24622559262111.324,inf
5817,GADAN_HG_G14_XDC_G41_S1311_XDC_W0|S1_NN,1049191654536263.2,inf
196,35L___XDC,7.146754869992804e+21,inf
267,42G___XDC,2.3916229228216116e+21,inf
5690,GADANN_T_G14_CA_XDC_G31|N2N_S1312_XDC,3773915327246.505,inf
5691,GADANN_T_G14_CA_XDC_G31|N2N_S1313_XDC,20241397168602.305,inf
201,35____XDC,1.674024387144174e+21,inf
12452,IA_XDC_FS_ODX_IP,1.6248593201065418e+16,inf
239,40____XDC,1.4783866907258828e+20,inf
2650,FS_ODX_OCINT_XDC,51717506350259.7,inf
81,21____XDC,2.4577300039853784e+16,inf
312,47R___XDC,-2.731360969181959e+21,inf
78,20____XDC,5.186865534685768e+21,inf
315,51N___XDC,-5.750749800872081e+19,inf
7573,GALD_LG_G14_GDP_PT_G63_W2|S1313_S1321_XDC_R_B1GQ,0.6155,inf
317,52AN__XDC,-7.797616843808979e+20,inf
320,52B___XDC,5.427378583905077e+18,inf
72,20C___XDC,6992405730541137.0,inf
2968,FS_OFM_IPF_NLIC_AFO_XDC,139573543886962.28,inf
10600,GG_GALD_G01_XDC,3113451969520163.0,inf
70,17R___XDC,1.4604771450520773e+22,inf
2976,FS_OFM_IPF_NLIC_AF_XDC,139573666461936.33,inf
10602,GG_GALF_G01_XDC,1689541894926232.0,inf
7581,GALD_LG_G14_XDC_G63_W2|S1313_S1321_XDC,180216692307.6923,inf
325,52D___XDC,1.811284436633013e+23,inf
326,52G___XDC,2.8618238663538576e+21,inf
41,14____XDC,2.72327404838065e+21,inf
350,57R___XDC,-2.5827081247599605e+23,inf
3082,FS_OFM_IPF_PF_AF_XDC,225977749232458.84,inf
10617,GG_GEG_G01_XDC,139226694477479.19,inf
346,57A___XDC,3.8347104802065135e+23,inf
328,52____XDC,1.8359751011426784e+23,inf
47,16AC__XDC,6976442926428528.0,inf
58,16D___XDC,1.193214533706445e+21,inf
3074,FS_OFM_IPF_PF_AFO_XDC,225223565041648.72,inf
