,features,feature_sums,VIF
402,FB_NUM_FS_ODX_IPO,6.2857,inf
379,FA_XDC_FS_ODX_XO,11087871208.6364,inf
1,DA_EUR_FS_ODX_D,1104384326.0,inf
375,FA_XDC_FS_ODX_XDV,3155500000.0,inf
370,FA_XDC_FS_ODX_X,27042651809934.03,inf
362,FA_XDC_FS_ODX_IPC,1205426122726253.5,inf
360,FA_XDC_FS_ODX_IP,1174488231557633.0,inf
352,FA_XDC_FS_ODX_IGC,150501755179.4272,inf
350,FA_XDC_FS_ODX_IG,503951003179.4271,inf
348,FA_XDC_FS_ODX_I,1174656108783726.2,inf
345,FA_USD_FS_ODX_IPO,5620465277.5,inf
344,FA_USD_FS_ODX_IPC,896027301502.5,inf
579,IBD_NUM_FS_ODX_IPMFI,99.4583,inf
580,IBD_NUM_FS_ODX_IPO,961.9619,inf
582,IBD_NUM_FS_ODX_X,102.6566,inf
780,TA_XDC_FS_ODX_XCU,796433802772744.9,inf
778,TA_XDC_FS_ODX_X,1263675367256019.0,inf
777,TA_XDC_FS_ODX_IPO,214779000000000.0,inf
776,TA_XDC_FS_ODX_IPCU,381085000000000.0,inf
775,TA_XDC_FS_ODX_IPC,1817447821774832.5,inf
774,TA_XDC_FS_ODX_IP,2413317821774832.5,inf
773,TA_XDC_FS_ODX_IGS,144252941773.4169,inf
772,TA_XDC_FS_ODX_IGDV,723047000000000.0,inf
771,TA_XDC_FS_ODX_IGC,283732363533.07,inf
770,TA_XDC_FS_ODX_IG,723474985305306.5,inf
769,TA_XDC_FS_ODX_ID,365553780123.9785,inf
768,TA_XDC_FS_ODX_I,3136785807080139.0,inf
767,TA_XDC_FS_ODX_D,365838967901.9418,inf
766,TA_EUR_FS_ODX_IPO,39752433694.93,inf
765,TA_EUR_FS_ODX_IPI,10846145238.7595,inf
764,TA_EUR_FS_ODX_IPCU,22771281016.63,inf
763,TA_EUR_FS_ODX_IPC,890388203578.01,inf
762,TA_EUR_FS_ODX_IP,963758063528.33,inf
761,TA_EUR_FS_ODX_IGC,172827636990.0,inf
760,TA_EUR_FS_ODX_IG,172827636990.0,inf
759,TA_EUR_FS_ODX_I,1136585700518.33,inf
757,ISF_NUM_FS_OFX_IOFI,71.5958,inf
754,ISF_NUM_FS_OFX_I,71.5958,inf
741,ISF_NUM_FS_ODX_IPO,4.6404,inf
779,TA_XDC_FS_ODX_XC,227682993100758.2,inf
781,TA_XDC_FS_ODX_XD,855563333.89,inf
737,ISF_NUM_FS_ODX_IPDV,0.7692,inf
782,TA_XDC_FS_ODX_XI,50583000000000.0,inf
828,TE_NUM_FS_OFX_INIF,2681.6154,inf
827,TE_NUM_FS_OFX_IMMF,48.0,inf
826,TE_NUM_FS_OFX_IICNLIC,369.2308,inf
825,TE_NUM_FS_OFX_IICLIC,74.0,inf
822,TE_NUM_FS_OFX_ICFIML,2354.0,inf
820,TE_NUM_FS_ODX_XS,116.204,inf
817,TE_NUM_FS_ODX_XM,1.3333,inf
816,TE_NUM_FS_ODX_XIO,1.0,inf
815,TE_NUM_FS_ODX_XI,5.9091,inf
811,TE_NUM_FS_ODX_XC,89.9827,inf
808,TE_NUM_FS_ODX_IPS,619.7006,inf
805,TE_NUM_FS_ODX_IPM,45.9643,inf
804,TE_NUM_FS_ODX_IPI,56.8364,inf
800,TE_NUM_FS_ODX_IPB,23.25,inf
798,TE_NUM_FS_ODX_IGS,429.0119,inf
796,TE_NUM_FS_ODX_IGMFI,13.0,inf
795,TE_NUM_FS_ODX_IGM,8.6571,inf
794,TE_NUM_FS_ODX_IGI,1.7273,inf
792,TE_NUM_FS_ODX_IGCU,8.0333,inf
790,TE_NUM_FS_ODX_IGB,8.95,inf
785,TA_XDC_FS_ODX_XS,94933260155564.2,inf
784,TA_XDC_FS_ODX_XO,92585708043315.45,inf
783,TA_XDC_FS_ODX_XIO,1456603183636.41,inf
738,ISF_NUM_FS_ODX_IPI,6.0909,inf
732,ISF_NUM_FS_ODX_IGS,6.0,inf
584,IBD_NUM_FS_ODX_XC,3.3333,inf
660,IE_NUM_FS_ODX_X,31.7975,inf
658,IE_NUM_FS_ODX_IPO,48.4829,inf
657,IE_NUM_FS_ODX_IPMFI,12.75,inf
656,IE_NUM_FS_ODX_IPM,3.5,inf
655,IE_NUM_FS_ODX_IPI,22.3295,inf
654,IE_NUM_FS_ODX_IPDV,3.9231,inf
651,IE_NUM_FS_ODX_IPB,2.0,inf
649,IE_NUM_FS_ODX_IGS,8.0,inf
645,IE_NUM_FS_ODX_IGI,1.1429,inf
634,IBF_NUM_FS_OFX_IIC,5.625,inf
619,IBF_NUM_FS_ODX_IPO,7.1111,inf
616,IBF_NUM_FS_ODX_IPI,17.2727,inf
610,IBF_NUM_FS_ODX_IGS,2.0,inf
606,IBF_NUM_FS_ODX_IGI,5.4286,inf
603,IBF_NUM_FS_ODX_IGC,73.0,inf
601,IBF_NUM_FS_ODX_IG,77.0974,inf
597,IBD_NUM_FS_OFX_IPF,15.0,inf
596,IBD_NUM_FS_OFX_IOFI,453.7955,inf
595,IBD_NUM_FS_OFX_IIC,387.2755,inf
594,IBD_NUM_FS_OFX_IFA,151.2939,inf
593,IBD_NUM_FS_OFX_I,764.2866,inf
592,IBD_NUM_FS_ODX_XS,51.2,inf
591,IBD_NUM_FS_ODX_XO,3.0,inf
590,IBD_NUM_FS_ODX_XMFI,40.0,inf
659,IE_NUM_FS_ODX_IPS,3.0,inf
662,IE_NUM_FS_ODX_XC,9.3333,inf
728,ISF_NUM_FS_ODX_IGI,4.8571,inf
664,IE_NUM_FS_ODX_XD,2.5,inf
723,ISF_NUM_FS_ODX_IG,4.5909,inf
718,ISD_NUM_FS_OFX_IOFI,5.3407,inf
717,ISD_NUM_FS_OFX_IIC,13.5,inf
715,ISD_NUM_FS_OFX_I,5.3407,inf
706,ISD_NUM_FS_ODX_XC,3.0,inf
704,ISD_NUM_FS_ODX_X,3.0,inf
702,ISD_NUM_FS_ODX_IPO,3.7879,inf
699,ISD_NUM_FS_ODX_IPI,3.3636,inf
698,ISD_NUM_FS_ODX_IPDV,3.2308,inf
693,ISD_NUM_FS_ODX_IGS,21.0,inf
689,ISD_NUM_FS_ODX_IGI,6.8571,inf
686,ISD_NUM_FS_ODX_IGC,1.0,inf
684,ISD_NUM_FS_ODX_IG,10.6136,inf
680,IE_NUM_FS_OFX_IPF,14.9231,inf
679,IE_NUM_FS_OFX_IOFI,132.7933,inf
676,IE_NUM_FS_OFX_IICNLIC,5.0,inf
675,IE_NUM_FS_OFX_IICLIC,2.0,inf
673,IE_NUM_FS_OFX_IFA,70.1705,inf
672,IE_NUM_FS_OFX_ICFIML,828.0,inf
671,IE_NUM_FS_OFX_I,618.1704,inf
670,IE_NUM_FS_ODX_XS,6.4,inf
669,IE_NUM_FS_ODX_XO,3.8,inf
668,IE_NUM_FS_ODX_XMFI,4.0,inf
257,DSD_NUM_FS_ODX_IPS,23.5714,inf
372,FA_XDC_FS_ODX_XC,22392384965817.89,inf
253,DSD_NUM_FS_ODX_IPI,7.5,inf
100,DA_XDC_FS_OFX_ICFIML,95805636124.9023,inf
117,DBD_NUM_FS_ODX_IGI,5.0,inf
115,DBD_NUM_FS_ODX_IGCU,32.75,inf
113,DBD_NUM_FS_ODX_IGB,73.0,inf
108,DA_XDC_FS_OFX_IPF,537790389674978.6,inf
107,DA_XDC_FS_OFX_IOFI,32727609456725.816,inf
106,DA_XDC_FS_OFX_INIF,4939403102764.428,inf
105,DA_XDC_FS_OFX_IMMF,354940602276.31,inf
104,DA_XDC_FS_OFX_IICNLIC,529319578824.33,inf
103,DA_XDC_FS_OFX_IICLIC,4276581135901.58,inf
101,DA_XDC_FS_OFX_IFA,1413086596073.0554,inf
99,DA_XDC_FS_OFX_I,572513174057820.8,inf
119,DBD_NUM_FS_ODX_IGMFI,484.0,inf
98,DA_XDC_FS_ODX_XS,8252921187869.896,inf
97,DA_XDC_FS_ODX_XO,120495191711400.38,inf
96,DA_XDC_FS_ODX_XMFI,375603245251.122,inf
95,DA_XDC_FS_ODX_XM,884981097276.3854,inf
94,DA_XDC_FS_ODX_XIO,1456603183636.41,inf
92,DA_XDC_FS_ODX_XDV,390056094439.31,inf
91,DA_XDC_FS_ODX_XD,1919857879.3445,inf
90,DA_XDC_FS_ODX_XCU,74667381509845.92,inf
89,DA_XDC_FS_ODX_XC,131496820889.256,inf
87,DA_XDC_FS_ODX_X,196074993369292.12,inf
118,DBD_NUM_FS_ODX_IGM,171.2381,inf
120,DBD_NUM_FS_ODX_IGO,22809.4,inf
71,DA_XDC_FS_ODX_IGDV,131705457869066.86,inf
148,DBD_NUM_FS_OFX_IICNLIC,1016.0,inf
169,DBF_NUM_FS_ODX_IPI,6.5,inf
168,DBF_NUM_FS_ODX_IPDV,0.3077,inf
167,DBF_NUM_FS_ODX_IPCU,36.2857,inf
165,DBF_NUM_FS_ODX_IPB,2.0,inf
163,DBF_NUM_FS_ODX_IGS,4.0,inf
160,DBF_NUM_FS_ODX_IGM,1.7143,inf
158,DBF_NUM_FS_ODX_IGDV,36.9091,inf
155,DBF_NUM_FS_ODX_IGB,2.0,inf
154,DBF_NUM_FS_ODX_IG,728.2187,inf
150,DBD_NUM_FS_OFX_IPF,360.0,inf
147,DBD_NUM_FS_OFX_IICLIC,775.0,inf
123,DBD_NUM_FS_ODX_IPB,145.4571,inf
143,DBD_NUM_FS_ODX_XS,1881.5253,inf
140,DBD_NUM_FS_ODX_XM,141.6154,inf
139,DBD_NUM_FS_ODX_XIO,189.0,inf
137,DBD_NUM_FS_ODX_XDV,1133.2222,inf
135,DBD_NUM_FS_ODX_XCU,9054.6299,inf
134,DBD_NUM_FS_ODX_XC,13.3333,inf
131,DBD_NUM_FS_ODX_IPS,1677.3849,inf
128,DBD_NUM_FS_ODX_IPM,126.4,inf
126,DBD_NUM_FS_ODX_IPDV,1029.8974,inf
125,DBD_NUM_FS_ODX_IPCU,11831.1401,inf
78,DA_XDC_FS_ODX_IPB,1957001120.99,inf
63,DA_USD_FS_OFX_IPF,716730352700.5999,inf
173,DBF_NUM_FS_ODX_IPS,8.9524,inf
15,DA_EUR_FS_ODX_IPB,210468561300.0,inf
27,DA_EUR_FS_ODX_XCU,14403131785.0,inf
24,DA_EUR_FS_ODX_X,369590517287.5979,inf
23,DA_EUR_FS_ODX_IPS,159856207142.8572,inf
22,DA_EUR_FS_ODX_IPO,327397746142.8571,inf
21,DA_EUR_FS_ODX_IPMFI,10411428.5714,inf
20,DA_EUR_FS_ODX_IPM,460947508500.0,inf
19,DA_EUR_FS_ODX_IPI,236569969622.5789,inf
18,DA_EUR_FS_ODX_IPDV,266855600750.0,inf
17,DA_EUR_FS_ODX_IPCU,1390002299820.5957,inf
16,DA_EUR_FS_ODX_IPC,9794305851347.93,inf
14,DA_EUR_FS_ODX_IP,14932653677355.219,inf
35,DA_EUR_FS_OFX_I,6147365134114.059,inf
13,DA_EUR_FS_ODX_IGS,1485101106750.0,inf
12,DA_EUR_FS_ODX_IGO,986817937619.0476,inf
10,DA_EUR_FS_ODX_IGM,63925686000.0,inf
8,DA_EUR_FS_ODX_IGDV,856288333121.212,inf
7,DA_EUR_FS_ODX_IGCU,14138920666.6667,inf
6,DA_EUR_FS_ODX_IGC,465646438806.8915,inf
5,DA_EUR_FS_ODX_IGB,98165821666.6667,inf
4,DA_EUR_FS_ODX_IG,3400992046877.056,inf
3,DA_EUR_FS_ODX_ID,1104381591.0,inf
2,DA_EUR_FS_ODX_I,20156434411859.73,inf
33,DA_EUR_FS_ODX_XO,10856000.0,inf
36,DA_EUR_FS_OFX_IFA,64506687037.4123,inf
61,DA_USD_FS_OFX_IIC,297297541395.696,inf
50,DA_USD_FS_ODX_IPCU,1517186344279.018,inf
60,DA_USD_FS_OFX_IFA,2509971039.5,inf
59,DA_USD_FS_OFX_I,598008367110.167,inf
58,DA_USD_FS_ODX_XO,901763481.498,inf
57,DA_USD_FS_ODX_XMFI,57272767846.331,inf
56,DA_USD_FS_ODX_XCU,171493625487.6569,inf
55,DA_USD_FS_ODX_XC,119940370.0,inf
54,DA_USD_FS_ODX_X,229637803271.9032,inf
53,DA_USD_FS_ODX_IPS,763554224090.909,inf
52,DA_USD_FS_ODX_IPO,45548196510.5924,inf
51,DA_USD_FS_ODX_IPI,2980907792.5,inf
49,DA_USD_FS_ODX_IPC,15061246265323.889,inf
37,DA_EUR_FS_OFX_IIC,3949655336168.2266,inf
48,DA_USD_FS_ODX_IP,17355831601570.22,inf
47,DA_USD_FS_ODX_IGO,684737500.0,inf
46,DA_USD_FS_ODX_IGDV,217047966000.0,inf
45,DA_USD_FS_ODX_IGC,706185623930.7347,inf
44,DA_USD_FS_ODX_IG,925049799139.7961,inf
43,DA_USD_FS_ODX_I,18280539031960.02,inf
41,DA_EUR_FS_OFX_IPF,511180997074.5494,inf
40,DA_EUR_FS_OFX_IOFI,4806337050763.118,inf
39,DA_EUR_FS_OFX_INIF,156208000.0,inf
38,DA_EUR_FS_OFX_IICLIC,228462000.0,inf
170,DBF_NUM_FS_ODX_IPM,12.6667,inf
127,DBD_NUM_FS_ODX_IPI,1400.1667,inf
226,DE_NUM_FS_OFX_ICFIML,1526.0,inf
196,DE_NUM_FS_ODX_IGCU,3.75,inf
199,DE_NUM_FS_ODX_IGM,8.6667,inf
200,DE_NUM_FS_ODX_IGMFI,13.0,inf
239,DSD_NUM_FS_ODX_IGB,7.25,inf
209,DE_NUM_FS_ODX_IPM,44.3413,inf
242,DSD_NUM_FS_ODX_IGDV,68.967,inf
208,DE_NUM_FS_ODX_IPI,37.075,inf
202,DE_NUM_FS_ODX_IGS,433.2333,inf
237,DSD_NUM_FS_ODX_ID,4.0,inf
235,DSD_NUM_FS_ODX_D,3.0,inf
232,DE_NUM_FS_OFX_INIF,2681.6154,inf
231,DE_NUM_FS_OFX_IMMF,48.0,inf
230,DE_NUM_FS_OFX_IICNLIC,364.2308,inf
243,DSD_NUM_FS_ODX_IGI,1.0,inf
229,DE_NUM_FS_OFX_IICLIC,72.0,inf
198,DE_NUM_FS_ODX_IGI,1.0,inf
224,DE_NUM_FS_ODX_XS,110.0859,inf
244,DSD_NUM_FS_ODX_IGM,1.5714,inf
221,DE_NUM_FS_ODX_XM,1.5,inf
246,DSD_NUM_FS_ODX_IGO,5.5,inf
220,DE_NUM_FS_ODX_XIO,1.0,inf
194,DE_NUM_FS_ODX_IGB,13.0,inf
215,DE_NUM_FS_ODX_XC,29.0,inf
247,DSD_NUM_FS_ODX_IGS,24.0,inf
249,DSD_NUM_FS_ODX_IPB,6.2,inf
251,DSD_NUM_FS_ODX_IPCU,57.2143,inf
252,DSD_NUM_FS_ODX_IPDV,15.641,inf
204,DE_NUM_FS_ODX_IPB,22.25,inf
212,DE_NUM_FS_ODX_IPS,616.3256,inf
210,DE_NUM_FS_ODX_IPMFI,1257.5417,9007199254740992.0
83,DA_XDC_FS_ODX_IPM,56998973448144.21,9007199254740992.0
558,IA_XDC_FS_OFX_IPF,2763009119400.573,9007199254740992.0
149,DBD_NUM_FS_OFX_IOFI,14646.2778,9007199254740992.0
185,DBF_NUM_FS_OFX_I,7.4273,9007199254740992.0
156,DBF_NUM_FS_ODX_IGC,662.8736,9007199254740992.0
144,DBD_NUM_FS_OFX_I,15926.9305,9007199254740992.0
188,DBF_NUM_FS_OFX_IOFI,6.9273,9007199254740992.0
77,DA_XDC_FS_ODX_IP,1.2028508907025728e+16,3002399751580330.5
121,DBD_NUM_FS_ODX_IGS,320.0042,3002399751580330.5
803,TE_NUM_FS_ODX_IPDV,21.6603,1801439850948198.5
172,DBF_NUM_FS_ODX_IPO,17.987,1501199875790165.2
525,IA_XDC_FS_ODX_IGC,522748371102.2208,1286742750677284.5
207,DE_NUM_FS_ODX_IPDV,17.7372,1286742750677284.5
186,DBF_NUM_FS_OFX_IFA,0.5,1000799917193443.5
309,DSF_NUM_FS_OFX_IFA,1.5,1000799917193443.5
541,IA_XDC_FS_ODX_IPO,9414210996782.527,818836295885544.8
564,IBD_NUM_FS_ODX_IGC,134.1333,818836295885544.8
287,DSF_NUM_FS_ODX_IP,13920419.2511,600479950316066.1
275,DSF_NUM_FS_ODX_I,13911399.329,600479950316066.1
79,DA_XDC_FS_ODX_IPC,1.1720481556989026e+16,600479950316066.1
289,DSF_NUM_FS_ODX_IPC,10911365.7238,375299968947541.3
555,IA_XDC_FS_OFX_IFA,418223660.878,310593077749689.4
132,DBD_NUM_FS_ODX_X,26365.7028,272945431961848.28
68,DA_XDC_FS_ODX_IGB,2006556017333.3333,264917625139440.94
76,DA_XDC_FS_ODX_IGS,1443286417924.0781,225179981368524.8
806,TE_NUM_FS_ODX_IPMFI,1269.6167,219687786700999.8
153,DBF_NUM_FS_ODX_ID,3.0,187649984473770.66
151,DBF_NUM_FS_ODX_D,3.0,187649984473770.66
562,IBD_NUM_FS_ODX_IG,167.8437,176611750092960.62
145,DBD_NUM_FS_OFX_IFA,818.6063,77648269437422.34
130,DBD_NUM_FS_ODX_IPO,6628.7566,74439663262322.25
807,TE_NUM_FS_ODX_IPO,609.6266,61273464317965.93
129,DBD_NUM_FS_ODX_IPMFI,1129.2,60047995031606.62
211,DE_NUM_FS_ODX_IPO,534.9687,54260236474343.33
142,DBD_NUM_FS_ODX_XO,12575.966,45721823628126.86
642,IE_NUM_FS_ODX_IGC,9.8333,37845375019920.13
813,TE_NUM_FS_ODX_XD,22.6667,29339411253227.99
64,DA_XDC_FS_ODX_D,100150625988688.72,25230250013280.09
632,IBF_NUM_FS_OFX_I,0.1,22631153906384.402
635,IBF_NUM_FS_OFX_IOFI,0.1667,22631153906384.402
271,DSD_NUM_FS_OFX_IIC,0.3,22574434222408.5
217,DE_NUM_FS_ODX_XD,21.5682,21862134113449.008
84,DA_XDC_FS_ODX_IPMFI,153492749334675.97,18962524746823.14
201,DE_NUM_FS_ODX_IGO,88.7655,15556475396789.277
66,DA_XDC_FS_ODX_ID,100284485414537.17,14274483763456.406
830,TE_NUM_FS_OFX_IPF,3389.0493,9592331474697.543
70,DA_XDC_FS_ODX_IGCU,30860090341589.246,8180925753624.878
240,DSD_NUM_FS_ODX_IGC,169.3179,7456290773792.211
539,IA_XDC_FS_ODX_IPM,455059802250.0,4131742777404.125
721,ISF_NUM_FS_ODX_I,124.2976,3692988624330.05
223,DE_NUM_FS_ODX_XO,2427.5548,3682419973320.1113
733,ISF_NUM_FS_ODX_IP,119.8079,3468309301016.9395
819,TE_NUM_FS_ODX_XO,2277.8063,3150471932403.285
735,ISF_NUM_FS_ODX_IPC,107.981,3042972721196.2812
797,TE_NUM_FS_ODX_IGO,65.0437,2998401882403.7925
740,ISF_NUM_FS_ODX_IPMFI,1.0,2989445487799.8647
277,DSF_NUM_FS_ODX_IG,6993.9685,2989445487799.8647
279,DSF_NUM_FS_ODX_IGC,6987.1398,2989445487799.8647
234,DE_NUM_FS_OFX_IPF,3267.0553,2765489485643.5347
141,DBD_NUM_FS_ODX_XMFI,2876.7222,2082589423061.5007
80,DA_XDC_FS_ODX_IPCU,45052892051579.23,1885140070058.8096
238,DSD_NUM_FS_ODX_IG,229.039,1631147999772.0015
640,IE_NUM_FS_ODX_IG,12.9177,1191901449615.0579
82,DA_XDC_FS_ODX_IPI,13335821638313.38,564643885076.5416
162,DBF_NUM_FS_ODX_IGO,4.3333,441659275019.172
73,DA_XDC_FS_ODX_IGM,26073759191.2425,329813227929.0
85,DA_XDC_FS_ODX_IPO,42397450932075.86,322007695364.6858
540,IA_XDC_FS_ODX_IPMFI,110183097311.925,237707148071.9147
116,DBD_NUM_FS_ODX_IGDV,3379.2826,189949160773.9723
368,FA_XDC_FS_ODX_IPO,1882261637.15,157226631314.4287
295,DSF_NUM_FS_ODX_IPO,4.8333,131490040360.5932
802,TE_NUM_FS_ODX_IPCU,8114.635,122759042900.5355
102,DA_XDC_FS_OFX_IIC,882286338369592.2,116454835538.7031
384,FB_NUM_FS_ODX_IG,18.8571,68352868561.8744
386,FB_NUM_FS_ODX_IGC,18.8571,68352868561.8744
256,DSD_NUM_FS_ODX_IPO,35.9429,67929645349.3393
648,IE_NUM_FS_ODX_IGO,1.0,60816307719.1249
570,IBD_NUM_FS_ODX_IGO,1.0,60815486470.869
206,DE_NUM_FS_ODX_IPCU,8198.4264,30729652775.7095
829,TE_NUM_FS_OFX_IOFI,35813.5247,26516563299.6184
233,DE_NUM_FS_OFX_IOFI,32418.0845,25315201305.0545
821,TE_NUM_FS_OFX_I,47028.0228,23221852485.6939
225,DE_NUM_FS_OFX_I,42307.9491,22372965388.7201
823,TE_NUM_FS_OFX_IFA,5596.1141,17447663503.5594
431,FG_NUM_FS_ODX_IG,5.5714,17263968333.9422
433,FG_NUM_FS_ODX_IGC,5.5714,17263968333.9422
227,DE_NUM_FS_OFX_IFA,5652.1744,17105546607.1508
197,DE_NUM_FS_ODX_IGDV,41.3333,9470157367.8245
65,DA_XDC_FS_ODX_I,2.0484432820269556e+16,7957445135.0766
793,TE_NUM_FS_ODX_IGDV,38.3333,7522216022.9937
75,DA_XDC_FS_ODX_IGO,29102965683819.527,4636371395.0094
67,DA_XDC_FS_ODX_IG,8450929419868556.0,2292647338.1472
122,DBD_NUM_FS_ODX_IP,291475.3812,689378475.928
572,IBD_NUM_FS_ODX_IP,49168.2209,595565148.1915
560,IBD_NUM_FS_ODX_I,49272.6274,595293908.53
124,DBD_NUM_FS_ODX_IPC,246052.4629,590303356.5701
574,IBD_NUM_FS_ODX_IPC,46154.4648,562493595.3362
69,DA_XDC_FS_ODX_IGC,7899787390551201.0,380856039.6753
86,DA_XDC_FS_ODX_IPS,408968666269.966,302687384.2723
546,IA_XDC_FS_ODX_XCU,427755593333.3333,279975349.993
110,DBD_NUM_FS_ODX_I,412042.5399,265303055.8584
674,IE_NUM_FS_OFX_IIC,124.3986,243823902.9613
305,DSF_NUM_FS_ODX_XMFI,1.0,113216126.8128
297,DSF_NUM_FS_ODX_X,1.0,113216126.8128
824,TE_NUM_FS_OFX_IIC,3320.0278,95003402.5669
112,DBD_NUM_FS_ODX_IG,120964.0242,94556961.6166
228,DE_NUM_FS_OFX_IIC,3126.1206,91030207.4614
236,DSD_NUM_FS_ODX_I,9061.2706,78732072.753
