"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"St. Kitts and Nevis","361","Financial Institutions Access Index","FD_FIA_IX","Value","0.846664011478424","0.82491397857666","0.823843479156494","0.852250099182129","0.797403037548065","0.732277750968933","0.688689589500427","0.70314484834671","0.788098871707916","0.781785905361176","0.778378188610077","0.781583666801453","0.803097784519196","0.828887343406677","0.80956244468689","0.823639452457428","0.8192218542099","0.783473432064056","0.787524521350861","0.821450471878052","0.795532703399658","0.805692672729492","0.801742076873779","0.81083756685257","0.848376393318176","0.866709053516388","0.862245380878448","0.757367074489594","0.776695489883423","0.806525051593781","0.803194344043732","0.832058429718018","0.838957130908966","0.929567694664001","0.904279053211212","0.905623495578766","0.860848784446716","0.801586747169495","0.843579769134521","0.860783100128174","0.881366908550262",
"St. Kitts and Nevis","361","Financial Markets Depth Index","FD_FMD_IX","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"St. Kitts and Nevis","361","Financial Markets Access Index","FD_FMA_IX","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"St. Kitts and Nevis","361","Financial Markets Efficiency Index","FD_FME_IX","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"St. Lucia","362","Financial Development Index","FD_FD_IX","Value","0.323960661888123","0.268215119838715","0.2794329226017","0.297598958015442","0.277281910181046","0.261618703603745","0.242577895522118","0.264860779047012","0.297433286905289","0.319351404905319","0.304845690727234","0.308320194482803","0.294307082891464","0.324044436216354","0.334629356861115","0.323436141014099","0.330804228782654","0.331017792224884","0.352936416864395","0.335748136043549","0.340513795614243","0.342658132314682","0.338006108999252","0.320935547351837","0.338648468255997","0.340314537286758","0.344086736440659","0.353089779615402","0.353120893239975","0.336178421974182","0.34078449010849","0.338529109954834","0.334258645772934","0.328747421503067","0.323990732431412","0.307774692773819","0.284289836883545","0.304860025644302","0.306857049465179","0.323986798524857","0.327964037656784",
"St. Lucia","362","Financial Institutions Index","FD_FI_IX","Value","0.452415287494659","0.379130512475967","0.395324915647507","0.417260080575943","0.39015132188797","0.369377046823502","0.343717068433762","0.372190922498703","0.413710296154022","0.443678110837936","0.423736959695816","0.428293645381927","0.410849332809448","0.45256045460701","0.471868902444839","0.451629042625427","0.465522766113281","0.465579748153687","0.50492137670517","0.473874002695084","0.483056426048279","0.486862272024155","0.478314340114594","0.447668343782425","0.480150133371353","0.483119130134583","0.491166293621063","0.507923424243927","0.506620824337006","0.474323332309723","0.482772350311279","0.478146016597748","0.470231354236603","0.460354864597321","0.452315926551819","0.421181738376617","0.375053465366364","0.415456861257553","0.419379353523254","0.453025043010712","0.460837066173553",
"St. Lucia","362","Financial Markets Index","FD_FM_IX","Value","0.183898523449898","0.147689580917358","0.153528869152069","0.167274847626686","0.154477506875992","0.144486591219902","0.132747158408165","0.148040696978569","0.170499250292778","0.183582350611687","0.175031825900078","0.177299618721008","0.167219832539558","0.18391789495945","0.185400024056435","0.183654516935349","0.184232965111732","0.184595465660095","0.188305735588074","0.185592383146286","0.185770556330681","0.18617656826973","0.185587108135223","0.182703644037247","0.18501304090023","0.18531645834446","0.184678539633751","0.185604929924011","0.18696865439415","0.185988232493401","0.186586335301399","0.186782732605934","0.186309486627579","0.185360953211784","0.184056967496872","0.183340072631836","0.183340072631836","0.183340072631836","0.183340072631836","0.183340072631836","0.183340072631836",
"St. Lucia","362","Financial Institutions Depth Index","FD_FID_IX","Value","0.19608636200428","0.194376423954964","0.219411596655846","0.215425282716751","0.193354055285454","0.181134968996048","0.165898635983467","0.170006737112999","0.190768554806709","0.217836067080498","0.203783392906189","0.207575634121895","0.206021457910538","0.240456864237785","0.246140226721764","0.253302663564682","0.277249902486801","0.264270067214966","0.253061592578888","0.262347221374512","0.286369979381561","0.284012794494629","0.279763370752335","0.277345597743988","0.303653478622437","0.318898409605026","0.340869605541229","0.374650567770004","0.38630273938179","0.354899674654007","0.348001748323441","0.342251747846603","0.355757564306259","0.327572494745255","0.283689647912979","0.274066865444183","0.254934698343277","0.239279925823212","0.236582890152931","0.297825068235397","0.327984035015106",
"St. Lucia","362","Financial Institutions Access Index","FD_FIA_IX","Value","0.399506598711014","0.314234524965286","0.326658606529236","0.355905473232269","0.328676998615265","0.307419627904892","0.282441973686218","0.314981579780579","0.362765908241272","0.394223421812058","0.372409760951996","0.377234876155853","0.355788439512253","0.399830371141434","0.424595892429352","0.395429670810699","0.405094981193542","0.411152094602585","0.473148167133331","0.427809745073318","0.430787116289139","0.437571257352829","0.42772176861763","0.388732820749283","0.418129622936249","0.408565759658813","0.405361831188202","0.409135550260544","0.398674041032791","0.382289111614227","0.440480291843414","0.442130029201508","0.441618353128433","0.435676246881485","0.427108585834503","0.414186239242554","0.343575447797775","0.367268681526184","0.3636774122715","0.378521203994751","0.363595426082611",
"St. Lucia","362","Financial Institutions Efficiency Index","FD_FIE_IX","Value","0.759692668914795","0.620400607585907","0.620400607585907","0.663441181182861","0.640795767307281","0.616192638874054","0.583906888961792","0.633218765258789","0.679693102836609","0.697965681552887","0.680615484714508","0.68386834859848","0.654563248157501","0.685018599033356","0.709066450595856","0.6671302318573","0.664635121822357","0.676583647727966","0.7446648478508","0.684199929237366","0.674453735351563","0.681867659091949","0.672277212142944","0.622461199760437","0.655223190784454","0.657078266143799","0.656707406044006","0.658628642559052","0.651438117027283","0.606220901012421","0.553392648696899","0.542342662811279","0.489714086055756","0.508726537227631","0.565692961215973","0.482540756464005","0.453571408987045","0.597284138202667","0.623065292835236","0.625862419605255","0.630386590957642",
